Country,GDP (Billion USD),Population (Million),Life Expectancy,Continent
USA,21433,331,78.8,North America
China,14342,1441,76.9,Asia
India,2875,1380,70.4,Asia
Germany,3846,83,81.3,Europe
Brazil,2144,213,75.2,South America
Australia,1393,25,82.8,Oceania
